record_id,province,tourism_city,destination_type,season,weather_condition,tourism_event_type,transport_mode_priority,tourist_arrivals,domestic_tourists,international_tourists,average_stay_days,repeat_visit_rate,hotel_occupancy_rate,available_hotel_rooms,homestay_availability_index,high_speed_rail_access_score,metro_access_score,tourist_bus_capacity,airport_connectivity_score,traffic_congestion_index,public_facility_usage_rate,smart_tourism_service_score,public_toilet_availability_score,tourist_information_center_score,public_safety_score,tourist_satisfaction_score,social_media_sentiment_score,online_search_trend_index,online_review_volume,e_ticket_booking_rate,regional_income_index,tourism_revenue_yuan,local_business_revenue_yuan,employment_support_index,tourism_gdp_contribution_rate,infrastructure_availability_score,transport_service_score,accommodation_capacity_score,promotion_investment_score,heritage_site_capacity_score,operational_cost_yuan,resource_utilization_rate,decision_response_time_min,crowd_risk_index,environmental_pressure_index,economic_impact_score,tourism_demand_score,resource_pressure_score,demand_category,resource_allocation_decision,public_management_action
1,Yunnan,Beijing,Urban_Commercial_Tourism_Hub,Chinese_New_Year,Snowy,Mountain_Adventure_Event,Tourist_Bus,37261,35464,1797,6.08,42.01,96.26,4233,31.37,66.86,53.49,39128,79.41,23.87,93.87,69.04,64.86,90.29,99.03,4.87,0.307,10.15,22372,94.01,47.8,8380200.15,5473109.26,72.83,11.07,96.15,66.02,85.69,41.76,99.52,6930258.41,43.36,59.83,58.54,39.28,57.39,46.55,60.4,Moderate,Balanced_Allocation,Balanced_Public_Management
2,Jiangxi,Xiamen,Coastal_Tourism_Zone,Spring,Snowy,Lantern_Festival,Shared_Bicycle,48735,36544,12191,7.25,46.64,92.03,2276,87.86,90.32,33.39,52297,39.78,83.37,26.31,67.43,98.31,48.29,50.11,4.03,0.821,56.3,32150,33.11,85.3,6496592.95,613006.15,45.8,33.65,88.43,90.99,55.21,78.74,20.31,7677643.11,70.68,31.7,96.3,92.35,41.77,59.58,72.9,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
3,Guangxi,Zhangjiajie,Rural_Tourism_Village,Summer,Hot,Dragon_Boat_Event,Metro_Service,102823,95393,7430,7.89,22.35,52.28,9206,34.45,97.6,27.69,32344,52.46,70.81,82.43,72.65,71.07,43.65,47.69,3.98,0.207,27.74,31463,72.58,106.58,2573313.36,3079177.04,74.42,14.53,54.57,43.53,49.81,58.11,97.19,8197936.1,39.3,94.23,17.86,65.41,38.98,52.33,60.05,Moderate,Public_Facility_Focused,Balanced_Public_Management
4,Shaanxi,Luoyang,Coastal_Tourism_Zone,National_Day_Golden_Week,Cloudy,Mountain_Adventure_Event,Ferry_Service,57024,54617,2407,3.39,61.56,45.93,10719,29.27,89.47,45.2,56510,45.81,36.74,51.63,27.54,86.42,47.87,83.65,2.35,0.761,80.78,32533,20.86,60.48,14327410.77,5541075.05,87.86,19.41,71.03,38.94,51.54,51.09,52.68,1989964.03,75.55,39.99,89.33,10.46,78.55,56.16,49.81,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
5,Hainan,Sanya,Ethnic_Cultural_Tourism_Area,Winter,Cold,No_Major_Event,High_Speed_Rail,53368,51105,2263,4.53,43.54,62.08,8336,98.16,34.37,91.82,14090,32.61,76.34,81.38,93.55,32.12,82.6,47.63,4.06,0.696,8.46,20160,69.32,54.13,11162624.98,7820369.52,69.97,20.7,89.56,45.66,53.08,79.01,45.12,5281891.02,65.26,156.2,91.2,40.89,73.54,48.81,70.31,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
6,Yunnan,Suzhou,Coastal_Tourism_Zone,Labour_Day_Holiday,Humid,Temple_Fair,Metro_Service,3382,3081,301,3.83,60.52,67.35,4496,64.01,27.16,57.19,61059,72.64,64.8,40.46,25.54,72.03,49.96,32.79,4.99,0.731,85.81,18994,61.81,94.73,785918.58,4077775.13,20.85,31.38,63.7,40.61,53.08,64.66,83.41,5728242.31,42.48,139.71,38.38,63.37,30.93,50.88,48.74,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
7,Guizhou,Suzhou,Ethnic_Cultural_Tourism_Area,Summer,Rainy,Food_Tourism_Festival,Private_Car,12887,10718,2169,1.54,14.03,45.77,11295,89.5,46.2,27.19,47167,39.89,46.62,53.57,59.67,28.59,81.13,73.36,2.48,0.583,81.01,30096,48.52,128.43,8022556.11,2379482.78,21.87,34.52,77.96,31.05,62.02,26.77,62.42,7151524.53,57.41,119.99,72.4,46.3,44.61,40.89,49.39,Low,Promotion_Focused,Increase_Promotion_Investment
8,Shaanxi,Guiyang,Coastal_Tourism_Zone,Dragon_Boat_Festival,Snowy,Lantern_Festival,Shared_Bicycle,63068,48103,14965,3.83,41.25,36.57,9801,39.73,55.54,21.21,52212,28.15,72.94,44.49,72.8,34.64,21.08,82.33,4.55,0.538,7.84,17001,32.57,78.1,14905034.57,4266075.96,41.66,23.22,57.43,44.41,60.01,23.07,33.4,10321893.99,30.6,151.98,42.48,23.3,66.33,39.85,46.62,Low,Transport_Focused,Improve_Transport_Service
9,Shaanxi,Xiamen,Ethnic_Cultural_Tourism_Area,Summer,Cloudy,Food_Tourism_Festival,Shared_Bicycle,73215,63402,9813,4.11,27.48,87.38,2180,95.58,34.37,72.21,15650,94.95,95.77,53.04,69.51,68.94,73.51,39.51,2.84,0.684,34.31,48572,25.54,69.79,9019573.24,519650.71,93.82,8.78,57.67,88.57,69.08,83.98,50.52,10155350.13,94.34,81.32,82.92,51.86,49.46,56.59,74.4,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
10,Zhejiang,Guangzhou,Urban_Commercial_Tourism_Hub,Winter,Clear,Business_Expo,Shared_Bicycle,94958,82280,12678,2.21,57.4,94.18,6212,92.01,75.96,42.4,25643,99.1,66.74,79.43,26.69,84.16,35.17,88.16,2.25,0.926,92.07,35614,12.5,92.72,10346371.52,4564574.03,39.53,23.5,97.55,42,33.74,21.09,46.42,5412201.12,55.12,12.25,32.28,80.56,56.1,77.93,70.22,High,Accommodation_Focused,Expand_Accommodation_Capacity
